km_cluster,km_n,km_perm_rate,km_enrichment,dominant_hdb_cluster,hdb_perm_rate,noise_in_km_region,double_validated
1,1095,0.724,1.066,4,0.703,102,False
6,573,0.719,1.058,1,0.668,7,False
4,775,0.715,1.052,1,0.668,5,False
0,1404,0.682,1.003,4,0.703,112,False
3,681,0.677,0.996,1,0.668,41,False
2,1154,0.672,0.989,1,0.668,10,False
5,673,0.667,0.982,2,0.673,65,False
7,583,0.537,0.79,1,0.668,6,False
