seed_i,seed_j,ARI,n_shared_non_noise
42,1,0.1979,5599
42,7,0.9964,6288
42,99,0.1014,3986
42,314,0.9976,6359
1,7,0.1989,5547
1,99,0.5299,3906
1,314,0.1978,5623
7,99,0.103,3946
7,314,0.9953,6298
99,314,0.1012,4003
