cluster,label,n,n_permeable,perm_rate,enrichment
3,C3,449,354,0.788,1.489
4,C4,115,76,0.661,1.248
-1,noise,314,179,0.57,1.076
0,C0,56,19,0.339,0.641
2,C2,391,107,0.274,0.517
1,C1,78,8,0.103,0.194
