cluster,label,n,n_permeable,perm_rate,enrichment
7,C7,148,120,0.811,1.531
4,C4,325,260,0.8,1.511
6,C6,187,121,0.647,1.222
2,C2,124,71,0.573,1.081
1,C1,146,46,0.315,0.595
0,C0,119,32,0.269,0.508
5,C5,208,56,0.269,0.508
3,C3,146,37,0.253,0.479
