seed_i,seed_j,ARI,n_shared_non_noise
42,1,0.4305,6142
42,7,0.3887,6248
42,99,0.3822,5895
42,314,0.3852,6038
1,7,0.8263,6666
1,99,0.8077,6411
1,314,0.8291,6471
7,99,0.8715,6394
7,314,0.8571,6611
99,314,0.8896,6223
