seed_i,seed_j,ARI,n_shared_non_noise
42,1,0.9124,6473
42,7,0.9883,6578
42,99,0.9276,6570
42,314,0.9871,6534
1,7,0.924,6661
1,99,0.8985,6676
1,314,0.9251,6595
7,99,0.9345,6784
7,314,0.9934,6699
99,314,0.9342,6727
