km_cluster,km_n,km_perm_rate,km_enrichment,dominant_hdb_cluster,hdb_perm_rate,noise_in_km_region,double_validated
3,168,0.976,1.288,0,0.878,4,False
2,210,0.876,1.156,0,0.878,10,False
5,325,0.84,1.108,0,0.878,0,False
1,147,0.837,1.104,0,0.878,2,False
6,87,0.747,0.986,1,0.593,1,False
4,303,0.68,0.897,1,0.593,4,False
7,191,0.665,0.877,1,0.593,11,False
0,135,0.333,0.44,1,0.593,0,False
