cluster,label,n,n_permeable,perm_rate,enrichment
0,C0,203,158,0.778,1.469
2,C2,111,83,0.748,1.411
4,C4,203,142,0.7,1.32
5,C5,131,84,0.641,1.21
6,C6,158,90,0.57,1.075
3,C3,116,48,0.414,0.781
1,C1,126,51,0.405,0.764
7,C7,354,87,0.246,0.464
